User Registration Data,,,,
UserID,Gender,Paid/Unpaid,Education,NRI
UI-9900-RAPLC,femail,yes,No,1
UI-7777-RAOOC,Male,No,Yes,0
UI-6234-RAAPL,Female,Yes,Yes,0
UI-6047-YHPVI,Male,No,No,0
UI-6572-ADKRS,Female,No,No,0
UI-9237-HQITU,Female,No,No,0
UI-5380-WJKOV,Male,No,No,0
UI-8168-UQWWF,Female,No,No,0
UI-8865-TNMNX,Male,Yes,Yes,0
UI-9489-DEDVP,Female,Yes,Yes,0
UI-9867-JCZSP,female,Yes,Yes,0
UI-4671-VJLCL,Female,No,No,0
UI-4080-IIARD,Female,yes,No,0
UI-3714-NTNFO,Female,No,No,0
UI-5948-UJZLF,Male,No,No,0
UI-5248-YGIJN,Male,Yes,No,0
UI-7760-OYPDY,Female,No,No,0
UI-7639-LIAYI,Male,No,No,0
UI-2954-PIBKO,Female,Yes,Yes,0
UI-8012-SOUDQ,Female,No,No,1
UI-9420-LOJKX,Female,No,No,0
UI-6575-SUVOI,Female,Yes,No,1
UI-7495-OOKFY,Female,Yes,No,1
UI-4667-QONEA,Female,Yes,Yes,1
UI-1658-BYGOY,Male,No,No,1
UI-8769-KKTPH,Female,Yes,Yes,0
UI-5067-XJQFU,Male,Yes,Yes,1
UI-3957-SQXML,Female,Yes,Yes,0
UI-5954-BDFSG,Female,No,No,0
UI-0434-CSFON,Female,Yes,No,0
UI-1215-FIGMP,Male,No,No,0
UI-0526-SXDJP,Male,Yes,No,0
UI-0557-ASKVU,Female,Yes,Yes,0
UI-5698-BQJOH,Female,No,No,0
UI-5122-CYFXA,Female,No,No,0
UI-8627-ZYGSZ,Male,Yes,No,0
UI-3410-YOQBQ,female,No,No,0
UI-3170-NMYVV,Female,Yes,Yes,0
UI-7410-OIEDU,Male,No,No,0
UI-2273-QCKXA,Male,No,No,0
UI-0731-EBJQB,Female,Yes,Yes,0
UI-1891-QRQSA,Male,Yes,Yes,1
UI-8028-PNXHQ,Male,Yes,Yes,0
UI-5630-AHZIL,Female,No,Yes,0
UI-2673-CXQEU,Female,No,No,1
UI-6416-JNVRK,Female,No,No,0
UI-5590-ZSKRV,Female,Yes,Yes,0
UI-0191-ZHSKZ,Male,No,No,1
UI-3887-PBQAO,female,Yes,Yes,0
UI-5919-TMRGD,female,No,Yes,0
UI-8108-UXRQN,female,yes,Yes,0
UI-9191-MYQKX,female,yes,No,0
UI-9919-YLNNG,Female,No,No,0
UI-0318-ZOPWS,Female,Yes,No,0
UI-4445-ZJNMU,Male,No,No,0
UI-4808-YNLEU,Female,Yes,No,0
UI-1862-QRWPE,Female,Yes,Yes,0
UI-2796-NNUFI,Female,Yes,Yes,0
UI-3016-KSVCP,Male,Yes,No,0
UI-4767-HZZHQ,Male,Yes,Yes,0
UI-2424-WVHPL,Male,No,No,1
UI-7233-PAHHL,Male,Yes,Yes,0
UI-6067-NGCEU,Female,No,No,0
UI-9848-JQJTX,male,No,No,0
UI-8637-XJIVR,female,No,No,0
UI-9803-FTJCG,Male,Yes,Yes,0
UI-0278-YXOOG,Male,No,No,0
UI-3212-KXOCR,Male,No,No,0
UI-4598-XLKNJ,Female,Yes,No,1
UI-6380-ARCEH,Male,No,No,0
UI-3679-XASPY,Female,Yes,Yes,0
UI-7123-WQUHX,Male,No,No,0
UI-5386-THSLQ,Female,Yes,No,1
UI-3192-NQECA,Male,Yes,No,0
UI-6180-YBIQI,Male,No,No,0
UI-6728-DKUCO,Female,Yes,Yes,0
UI-9750-BOOHV,Female,No,No,0
UI-8597-CWYHH,Male,No,No,0
UI-2848-YXSMW,Male,Yes,Yes,0
UI-0486-HECZI,Male,Yes,No,0
UI-4549-ZDQYY,female,No,No,0
UI-5712-AHQNN,Female,No,No,0
UI-4846-WHAFZ,Female,Yes,No,1
UI-5256-SKJGO,Female,Yes,Yes,0
UI-3071-VBYPO,Male,Yes,Yes,0
UI-9560-BBZXK,Female,No,No,0
UI-5299-RULOA,Female,Yes,Yes,0
UI-8402-OOOHJ,Female,No,No,0
UI-9445-ZUEQE,Male,Yes,Yes,0
UI-1091-SOZGA,Female,Yes,Yes,0
UI-2928-HLDBA,Female,No,No,0
UI-0404-SWRVG,male,No,No,0
UI-6497-TILVL,Female,Yes,Yes,0
UI-7219-TLZHO,Female,Yes,Yes,0
UI-4622-YNKIJ,Male,No,No,0
UI-4412-YLTKF,Female,No,No,1
UI-6734-PSBAW,Male,Yes,No,0
UI-3930-ZGWVE,Male,No,No,0
UI-2639-UGMAZ,Male,No,No,1
UI-2876-GZYZC,Female,No,No,0
UI-6207-WIOLX,Female,Yes,Yes,0
UI-8587-XYZSF,Male,No,No,0
UI-3091-FYHKI,Male,No,No,0
UI-2372-HWUHI,Male,No,No,0
UI-7799-LGRDP,Female,No,No,0
UI-7850-VWJUU,Female,No,No,0
UI-3774-VBNXY,Female,Yes,Yes,0
UI-6217-KDYWC,Male,No,Yes,0
